XLabel;Wavenumber
YLabel;%Transmittance
FileType;%Transmittance
DisplayDirection;20300
PeakDirection;20311
727,762713;40,33651
728,22863;40,479484
728,694547;40,619053
729,160464;40,788576
729,626382;40,848125
730,092299;40,856101
730,558216;40,999603
731,024133;41,219806
731,490051;41,283964
731,955968;41,157258
732,421885;40,989638
732,887802;40,8501
733,353719;40,782033
733,819637;40,97259
734,285554;41,51174
734,751471;42,114991
735,217388;42,443357
735,683306;42,556715
736,149223;42,731697
736,61514;42,999043
737,081057;43,213093
737,546975;43,397246
738,012892;43,637789
738,478809;43,795114
738,944726;43,70447
739,410643;43,529775
739,876561;43,546443
740,342478;43,679375
740,808395;43,656276
741,274312;43,499875
741,74023;43,477941
742,206147;43,671324
742,672064;43,941945
743,137981;44,214723
743,603899;44,458218
744,069816;44,52325
744,535733;44,342123
745,00165;44,173811
745,467567;44,324907
745,933485;44,720413
746,399402;45,066665
746,865319;45,292495
747,331236;45,505723
747,797154;45,666924
748,263071;45,66603
748,728988;45,614309
749,194905;45,712768
749,660823;45,911334
750,12674;46,023969
750,592657;46,082486
751,058574;46,255096
751,524491;46,50351
751,990409;46,645895
752,456326;46,685866
752,922243;46,773611
753,38816;46,911711
753,854078;47,002471
754,319995;47,107168
754,785912;47,356294
755,251829;47,670761
755,717746;47,86076
756,183664;47,925473
756,649581;47,997278
757,115498;48,072077
757,581415;48,049314
758,047333;47,973058
758,51325;47,994204
758,979167;48,158074
759,445084;48,435327
759,911002;48,84554
760,376919;49,331555
760,842836;49,666699
761,308753;49,731702
761,77467;49,729581
762,240588;49,898403
762,706505;50,159328
763,172422;50,300194
763,638339;50,354897
764,104257;50,526688
764,570174;50,857253
765,036091;51,238284
765,502008;51,628347
765,967926;52,008885
766,433843;52,256479
766,89976;52,29927
767,365677;52,280565
767,831594;52,374491
768,297512;52,562263
768,763429;52,776447
769,229346;53,065071
769,695263;53,372757
770,161181;53,40347
770,627098;53,03991
771,093015;52,704701
771,558932;52,938984
772,02485;53,702279
772,490767;54,43219
772,956684;54,749813
773,422601;54,808295
773,888518;54,967822
774,354436;55,386831
774,820353;55,948598
775,28627;56,389183
775,752187;56,533333
776,218105;56,511543
776,684022;56,647402
777,149939;57,043833
777,615856;57,4184
778,081774;57,488885
778,547691;57,32925
779,013608;57,195076
779,479525;57,201622
779,945442;57,360683
780,41136;57,712963
780,877277;58,179529
781,343194;58,500833
781,809111;58,596534
782,275029;58,773011
782,740946;59,295346
783,206863;59,946942
783,67278;60,328622
784,138698;60,421255
784,604615;60,534929
785,070532;60,810864
785,536449;61,082718
786,002366;61,19264
786,468284;61,183119
786,934201;61,192289
787,400118;61,34718
787,866035;61,712211
788,331953;62,169462
788,79787;62,446719
789,263787;62,437726
789,729704;62,372114
790,195621;62,525799
790,661539;62,88767
791,127456;63,259769
791,593373;63,524
792,05929;63,652707
792,525208;63,642528
792,991125;63,610001
793,457042;63,779937
